area,ignore,image_id,bbox,category_id,file_name,width,height,category_full_name,annotate_id,coord_tl,coord_br,category_color_name,category_piece_name
201027,0,20180000001,"[413, 430, 339, 593]",1,WIN_20200429_09_58_47_Pro.jpg,3264,1836,white-queen,0,"[413, 430]","[752, 1023]",white,queen
203415,0,20180000001,"[555, 849, 355, 573]",2,WIN_20200429_09_58_47_Pro.jpg,3264,1836,black-bishop,1,"[555, 849]","[910, 1422]",black,bishop
250920,0,20180000001,"[886, 365, 340, 738]",3,WIN_20200429_09_58_47_Pro.jpg,3264,1836,white-king,2,"[886, 365]","[1226, 1103]",white,king
201563,0,20180000001,"[1226, 1163, 353, 571]",4,WIN_20200429_09_58_47_Pro.jpg,3264,1836,black-rook,3,"[1226, 1163]","[1579, 1734]",black,rook
124803,0,20180000001,"[1416, 571, 283, 441]",5,WIN_20200429_09_58_47_Pro.jpg,3264,1836,white-knight,4,"[1416, 571]","[1699, 1012]",white,knight
98518,0,20180000001,"[1690, 416, 227, 434]",6,WIN_20200429_09_58_47_Pro.jpg,3264,1836,white-bishop,5,"[1690, 416]","[1917, 850]",white,bishop
94620,0,20180000001,"[1840, 861, 249, 380]",7,WIN_20200429_09_58_47_Pro.jpg,3264,1836,white-pawn,6,"[1840, 861]","[2089, 1241]",white,pawn
134400,0,20180000001,"[2182, 1116, 300, 448]",8,WIN_20200429_09_58_47_Pro.jpg,3264,1836,black-pawn,7,"[2182, 1116]","[2482, 1564]",black,pawn
282820,0,20180000001,"[2362, 432, 358, 790]",9,WIN_20200429_09_58_47_Pro.jpg,3264,1836,black-king,8,"[2362, 432]","[2720, 1222]",black,king
189819,0,20180000002,"[483, 918, 393, 483]",10,WIN_20200429_09_59_02_Pro.jpg,3264,1836,white-rook,9,"[483, 918]","[876, 1401]",white,rook
239400,0,20180000002,"[1261, 1168, 380, 630]",11,WIN_20200429_09_59_02_Pro.jpg,3264,1836,black-knight,10,"[1261, 1168]","[1641, 1798]",black,knight
113243,0,20180000002,"[1207, 784, 281, 403]",4,WIN_20200429_09_59_02_Pro.jpg,3264,1836,black-rook,11,"[1207, 784]","[1488, 1187]",black,rook
78196,0,20180000002,"[1202, 446, 226, 346]",2,WIN_20200429_09_59_02_Pro.jpg,3264,1836,black-bishop,12,"[1202, 446]","[1428, 792]",black,bishop
93262,0,20180000002,"[1523, 218, 211, 442]",1,WIN_20200429_09_59_02_Pro.jpg,3264,1836,white-queen,13,"[1523, 218]","[1734, 660]",white,queen
133422,0,20180000002,"[1682, 218, 222, 601]",3,WIN_20200429_09_59_02_Pro.jpg,3264,1836,white-king,14,"[1682, 218]","[1904, 819]",white,king
120450,0,20180000002,"[2021, 516, 275, 438]",5,WIN_20200429_09_59_02_Pro.jpg,3264,1836,white-knight,15,"[2021, 516]","[2296, 954]",white,knight
89425,0,20180000002,"[2013, 858, 245, 365]",7,WIN_20200429_09_59_02_Pro.jpg,3264,1836,white-pawn,16,"[2013, 858]","[2258, 1223]",white,pawn
128084,0,20180000002,"[1844, 1109, 284, 451]",8,WIN_20200429_09_59_02_Pro.jpg,3264,1836,black-pawn,17,"[1844, 1109]","[2128, 1560]",black,pawn
121626,0,20180000002,"[2458, 488, 261, 466]",6,WIN_20200429_09_59_02_Pro.jpg,3264,1836,white-bishop,18,"[2458, 488]","[2719, 954]",white,bishop
413189,0,20180000002,"[2545, 677, 469, 881]",9,WIN_20200429_09_59_02_Pro.jpg,3264,1836,black-king,19,"[2545, 677]","[3014, 1558]",black,king
254016,0,20180000002,"[2168, 1329, 504, 504]",12,WIN_20200429_09_59_02_Pro.jpg,3264,1836,black-queen,20,"[2168, 1329]","[2672, 1833]",black,queen
433566,0,20180000003,"[189, 965, 518, 837]",12,WIN_20200429_09_59_12_Pro.jpg,3264,1836,black-queen,21,"[189, 965]","[707, 1802]",black,queen
164021,0,20180000003,"[624, 741, 341, 481]",11,WIN_20200429_09_59_12_Pro.jpg,3264,1836,black-knight,22,"[624, 741]","[965, 1222]",black,knight
89096,0,20180000003,"[875, 499, 259, 344]",10,WIN_20200429_09_59_12_Pro.jpg,3264,1836,white-rook,23,"[875, 499]","[1134, 843]",white,rook
114401,0,20180000003,"[1071, 982, 277, 413]",8,WIN_20200429_09_59_12_Pro.jpg,3264,1836,black-pawn,24,"[1071, 982]","[1348, 1395]",black,pawn
91980,0,20180000003,"[1309, 603, 252, 365]",4,WIN_20200429_09_59_12_Pro.jpg,3264,1836,black-rook,25,"[1309, 603]","[1561, 968]",black,rook
403847,0,20180000003,"[1373, 888, 431, 937]",9,WIN_20200429_09_59_12_Pro.jpg,3264,1836,black-king,26,"[1373, 888]","[1804, 1825]",black,king
70705,0,20180000003,"[1704, 951, 179, 395]",7,WIN_20200429_09_59_12_Pro.jpg,3264,1836,white-pawn,27,"[1704, 951]","[1883, 1346]",white,pawn
100152,0,20180000003,"[1747, 399, 234, 428]",2,WIN_20200429_09_59_12_Pro.jpg,3264,1836,black-bishop,28,"[1747, 399]","[1981, 827]",black,bishop
157388,0,20180000003,"[2185, 763, 308, 511]",5,WIN_20200429_09_59_12_Pro.jpg,3264,1836,white-knight,29,"[2185, 763]","[2493, 1274]",white,knight
217916,0,20180000003,"[2586, 961, 347, 628]",6,WIN_20200429_09_59_12_Pro.jpg,3264,1836,white-bishop,30,"[2586, 961]","[2933, 1589]",white,bishop
165750,0,20180000003,"[2147, 309, 250, 663]",3,WIN_20200429_09_59_12_Pro.jpg,3264,1836,white-king,31,"[2147, 309]","[2397, 972]",white,king
121024,0,20180000003,"[2390, 309, 244, 496]",1,WIN_20200429_09_59_12_Pro.jpg,3264,1836,white-queen,32,"[2390, 309]","[2634, 805]",white,queen
140054,0,20180000004,"[544, 261, 293, 478]",12,WIN_20200429_09_59_44_Pro.jpg,3264,1836,black-queen,33,"[544, 261]","[837, 739]",black,queen
278637,0,20180000004,"[376, 341, 393, 709]",9,WIN_20200429_09_59_44_Pro.jpg,3264,1836,black-king,34,"[376, 341]","[769, 1050]",black,king
223136,0,20180000004,"[795, 984, 367, 608]",6,WIN_20200429_09_59_44_Pro.jpg,3264,1836,white-bishop,35,"[795, 984]","[1162, 1592]",white,bishop
166725,0,20180000004,"[1209, 850, 325, 513]",5,WIN_20200429_09_59_44_Pro.jpg,3264,1836,white-knight,36,"[1209, 850]","[1534, 1363]",white,knight
87715,0,20180000004,"[876, 713, 265, 331]",7,WIN_20200429_09_59_44_Pro.jpg,3264,1836,white-pawn,37,"[876, 713]","[1141, 1044]",white,pawn
