area,ignore,image_id,bbox,category_id,file_name,width,height,category_full_name,annotate_id,coord_tl,coord_br,category_color_name,category_piece_name
457095,0,20180000001,"[379, 30, 465, 983]",1,1.jpg,3264,1836,white-knight,0,"[379, 30]","[844, 1013]",white,knight
144950,0,20180000001,"[875, 260, 325, 446]",2,1.jpg,3264,1836,black-rook,1,"[875, 260]","[1200, 706]",black,rook
182040,0,20180000001,"[1250, 360, 328, 555]",3,1.jpg,3264,1836,black-knight,2,"[1250, 360]","[1578, 915]",black,knight
249284,0,20180000001,"[896, 702, 406, 614]",1,1.jpg,3264,1836,white-knight,3,"[896, 702]","[1302, 1316]",white,knight
236325,0,20180000001,"[448, 1016, 411, 575]",4,1.jpg,3264,1836,white-pawn,4,"[448, 1016]","[859, 1591]",white,pawn
216212,0,20180000001,"[1114, 1249, 382, 566]",5,1.jpg,3264,1836,black-pawn,5,"[1114, 1249]","[1496, 1815]",black,pawn
301448,0,20180000001,"[1476, 809, 392, 769]",6,1.jpg,3264,1836,white-bishop,6,"[1476, 809]","[1868, 1578]",white,bishop
220341,0,20180000001,"[2023, 736, 363, 607]",7,1.jpg,3264,1836,white-rook,7,"[2023, 736]","[2386, 1343]",white,rook
669116,0,20180000001,"[2511, 687, 644, 1039]",8,1.jpg,3264,1836,white-queen,8,"[2511, 687]","[3155, 1726]",white,queen
209160,0,20180000001,"[2354, 264, 332, 630]",9,1.jpg,3264,1836,black-bishop,9,"[2354, 264]","[2686, 894]",black,bishop
203400,0,20180000001,"[2062, 51, 300, 678]",10,1.jpg,3264,1836,black-queen,10,"[2062, 51]","[2362, 729]",black,queen
327998,0,20180000001,"[1697, 33, 374, 877]",11,1.jpg,3264,1836,black-king,11,"[1697, 33]","[2071, 910]",black,king
238185,0,20180000002,"[740, 695, 395, 603]",12,2.jpg,3264,1836,white-king,12,"[740, 695]","[1135, 1298]",white,king
95810,0,20180000002,"[944, 577, 286, 335]",2,2.jpg,3264,1836,black-rook,13,"[944, 577]","[1230, 912]",black,rook
93183,0,20180000002,"[1204, 1381, 267, 349]",4,2.jpg,3264,1836,white-pawn,14,"[1204, 1381]","[1471, 1730]",white,pawn
114600,0,20180000002,"[1321, 1037, 300, 382]",1,2.jpg,3264,1836,white-knight,15,"[1321, 1037]","[1621, 1419]",white,knight
89526,0,20180000002,"[1692, 1378, 258, 347]",5,2.jpg,3264,1836,black-pawn,16,"[1692, 1378]","[1950, 1725]",black,pawn
130112,0,20180000002,"[1771, 1033, 304, 428]",6,2.jpg,3264,1836,white-bishop,17,"[1771, 1033]","[2075, 1461]",white,bishop
107445,0,20180000002,"[1993, 798, 285, 377]",7,2.jpg,3264,1836,white-rook,18,"[1993, 798]","[2278, 1175]",white,rook
219459,0,20180000002,"[2376, 736, 383, 573]",8,2.jpg,3264,1836,white-queen,19,"[2376, 736]","[2759, 1309]",white,queen
105250,0,20180000002,"[2069, 343, 250, 421]",9,2.jpg,3264,1836,black-bishop,20,"[2069, 343]","[2319, 764]",black,bishop
93024,0,20180000002,"[1858, 215, 204, 456]",10,2.jpg,3264,1836,black-queen,21,"[1858, 215]","[2062, 671]",black,queen
172568,0,20180000002,"[1648, 323, 296, 583]",11,2.jpg,3264,1836,black-king,22,"[1648, 323]","[1944, 906]",black,king
114260,0,20180000002,"[1316, 625, 290, 394]",3,2.jpg,3264,1836,black-knight,23,"[1316, 625]","[1606, 1019]",black,knight
61744,0,20180000003,"[1058, 665, 227, 272]",2,3.jpg,3264,1836,black-rook,24,"[1058, 665]","[1285, 937]",black,rook
116724,0,20180000003,"[881, 819, 284, 411]",12,3.jpg,3264,1836,white-king,25,"[881, 819]","[1165, 1230]",white,king
41040,0,20180000003,"[1116, 1402, 180, 228]",4,3.jpg,3264,1836,white-pawn,26,"[1116, 1402]","[1296, 1630]",white,pawn
69440,0,20180000003,"[1245, 1149, 248, 280]",1,3.jpg,3264,1836,white-knight,27,"[1245, 1149]","[1493, 1429]",white,knight
55221,0,20180000003,"[1438, 1492, 233, 237]",5,3.jpg,3264,1836,black-pawn,28,"[1438, 1492]","[1671, 1729]",black,pawn
72664,0,20180000003,"[1569, 1253, 248, 293]",6,3.jpg,3264,1836,white-bishop,29,"[1569, 1253]","[1817, 1546]",white,bishop
71316,0,20180000003,"[1806, 1080, 252, 283]",7,3.jpg,3264,1836,white-rook,30,"[1806, 1080]","[2058, 1363]",white,rook
126643,0,20180000003,"[2071, 1144, 319, 397]",8,3.jpg,3264,1836,white-queen,31,"[2071, 1144]","[2390, 1541]",white,queen
59983,0,20180000003,"[1969, 750, 209, 287]",9,3.jpg,3264,1836,black-bishop,32,"[1969, 750]","[2178, 1037]",black,bishop
65667,0,20180000003,"[1820, 523, 177, 371]",10,3.jpg,3264,1836,black-queen,33,"[1820, 523]","[1997, 894]",black,queen
91260,0,20180000003,"[1623, 671, 234, 390]",11,3.jpg,3264,1836,black-king,34,"[1623, 671]","[1857, 1061]",black,king
65088,0,20180000003,"[1333, 818, 226, 288]",3,3.jpg,3264,1836,black-knight,35,"[1333, 818]","[1559, 1106]",black,knight
162368,0,20180000004,"[948, 441, 344, 472]",10,4.jpg,3264,1836,black-queen,36,"[948, 441]","[1292, 913]",black,queen
123005,0,20180000004,"[1179, 1372, 337, 365]",2,4.jpg,3264,1836,black-rook,37,"[1179, 1372]","[1516, 1737]",black,rook
221952,0,20180000004,"[1673, 1281, 408, 544]",12,4.jpg,3264,1836,white-king,38,"[1673, 1281]","[2081, 1825]",white,king
113928,0,20180000004,"[1416, 916, 303, 376]",3,4.jpg,3264,1836,black-knight,39,"[1416, 916]","[1719, 1292]",black,knight
205646,0,20180000004,"[1227, 491, 397, 518]",11,4.jpg,3264,1836,black-king,40,"[1227, 491]","[1624, 1009]",black,king
121584,0,20180000004,"[1168, 326, 298, 408]",9,4.jpg,3264,1836,black-bishop,41,"[1168, 326]","[1466, 734]",black,bishop
99866,0,20180000004,"[1641, 440, 299, 334]",7,4.jpg,3264,1836,white-rook,42,"[1641, 440]","[1940, 774]",white,rook
