image_id,category_id,bbox,area,file_name,height,width,category_full_name,annotate_id,coord_tl,coord_br,category_color_name,category_piece_name
0,6,"[981, 76, 99, 168]",16632,57def88c6de500f5f6926354b3680a13_jpg.rf.018116e7f29d167b5fb04133a03d0d3e.jpg,1529,2284,black-rook,0,"[981, 76]","[1080, 244]",black,rook
1,9,"[956, 867, 156, 246]",38376,a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.02ad1db519a5eaaf2a01663216c7e7b3.jpg,1529,2284,white-knight,1,"[956, 867]","[1112, 1113]",white,knight
1,8,"[288, 308, 177, 314]",55578,a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.02ad1db519a5eaaf2a01663216c7e7b3.jpg,1529,2284,white-king,2,"[288, 308]","[465, 622]",white,king
1,11,"[717, 87, 142, 273]",38766,a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.02ad1db519a5eaaf2a01663216c7e7b3.jpg,1529,2284,white-queen,3,"[717, 87]","[859, 360]",white,queen
1,7,"[924, 552, 154, 219]",33726,a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.02ad1db519a5eaaf2a01663216c7e7b3.jpg,1529,2284,white-bishop,4,"[924, 552]","[1078, 771]",white,bishop
1,12,"[900, 147, 138, 192]",26496,a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.02ad1db519a5eaaf2a01663216c7e7b3.jpg,1529,2284,white-rook,5,"[900, 147]","[1038, 339]",white,rook
1,10,"[944, 420, 124, 161]",19964,a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.02ad1db519a5eaaf2a01663216c7e7b3.jpg,1529,2284,white-pawn,6,"[944, 420]","[1068, 581]",white,pawn
1,10,"[552, 172, 147, 176]",25872,a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.02ad1db519a5eaaf2a01663216c7e7b3.jpg,1529,2284,white-pawn,7,"[552, 172]","[699, 348]",white,pawn
1,10,"[533, 434, 121, 170]",20570,a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.02ad1db519a5eaaf2a01663216c7e7b3.jpg,1529,2284,white-pawn,8,"[533, 434]","[654, 604]",white,pawn
1,10,"[746, 766, 124, 192]",23808,a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.02ad1db519a5eaaf2a01663216c7e7b3.jpg,1529,2284,white-pawn,9,"[746, 766]","[870, 958]",white,pawn
1,6,"[546, 14, 142, 199]",28258,a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.02ad1db519a5eaaf2a01663216c7e7b3.jpg,1529,2284,black-rook,10,"[546, 14]","[688, 213]",black,rook
1,3,"[475, 864, 178, 247]",43966,a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.02ad1db519a5eaaf2a01663216c7e7b3.jpg,1529,2284,black-knight,11,"[475, 864]","[653, 1111]",black,knight
1,1,"[1105, 247, 114, 223]",25422,a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.02ad1db519a5eaaf2a01663216c7e7b3.jpg,1529,2284,black-bishop,12,"[1105, 247]","[1219, 470]",black,bishop
1,2,"[1663, 306, 190, 306]",58140,a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.02ad1db519a5eaaf2a01663216c7e7b3.jpg,1529,2284,black-king,13,"[1663, 306]","[1853, 612]",black,king
1,4,"[1508, 435, 113, 173]",19549,a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.02ad1db519a5eaaf2a01663216c7e7b3.jpg,1529,2284,black-pawn,14,"[1508, 435]","[1621, 608]",black,pawn
1,4,"[1178, 919, 120, 190]",22800,a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.02ad1db519a5eaaf2a01663216c7e7b3.jpg,1529,2284,black-pawn,15,"[1178, 919]","[1298, 1109]",black,pawn
1,4,"[1330, 734, 120, 181]",21720,a8847f8fe8eaaa1c97bf83027a901760_jpg.rf.02ad1db519a5eaaf2a01663216c7e7b3.jpg,1529,2284,black-pawn,16,"[1330, 734]","[1450, 915]",black,pawn
2,12,"[949, 167, 109, 176]",19184,4bf38c062fa7b5796d15ba90d6c3a456_jpg.rf.03a400d788fe7d52efe74c9d31be0ba0.jpg,1529,2284,white-rook,17,"[949, 167]","[1058, 343]",white,rook
3,2,"[956, 1027, 159, 300]",47700,76e118acf05a8ebe06957f8882cc06aa_jpg.rf.050473278842a4c07101407346c6f52d.jpg,1529,2284,black-king,18,"[956, 1027]","[1115, 1327]",black,king
4,11,"[1145, 514, 135, 261]",35235,34ad1966ae7a17d4502ca141413ed8d2_jpg.rf.0291ccb4de4993cbf79b38099b2d5232.jpg,1529,2284,white-queen,19,"[1145, 514]","[1280, 775]",white,queen
5,5,"[1160, 682, 138, 258]",35604,de60ba81aa78387928e4bdc11f3be301_jpg.rf.09665f153a27712bb19e8763078c768f.jpg,1529,2284,black-queen,20,"[1160, 682]","[1298, 940]",black,queen
6,9,"[264, 1101, 151, 232]",35032,a932287da44b9dfacd0d16a5c1d27923_jpg.rf.0658841d7dec3be59bdb1ab73dba2726.jpg,1529,2284,white-knight,21,"[264, 1101]","[415, 1333]",white,knight
7,9,"[1710, 421, 140, 200]",28000,9c153a9c9798dab948d4260eb109b315_jpg.rf.08766acbea2d0eb6f9c9808447c1d1ab.jpg,1529,2284,white-knight,22,"[1710, 421]","[1850, 621]",white,knight
8,3,"[948, 289, 123, 191]",23493,37fe05bcf7d8568a9e55b569afdbccbd_jpg.rf.09929b42bc53510f55539badef29d865.jpg,1529,2284,black-knight,23,"[948, 289]","[1071, 480]",black,knight
9,8,"[281, 463, 172, 313]",53836,1a530d578f3f0bf3497bfeff3d953025_jpg.rf.02b21777d8132496ce82e9bfca875c26.jpg,1529,2284,white-king,24,"[281, 463]","[453, 776]",white,king
9,12,"[382, 41, 133, 193]",25669,1a530d578f3f0bf3497bfeff3d953025_jpg.rf.02b21777d8132496ce82e9bfca875c26.jpg,1529,2284,white-rook,25,"[382, 41]","[515, 234]",white,rook
9,7,"[357, 116, 136, 227]",30872,1a530d578f3f0bf3497bfeff3d953025_jpg.rf.02b21777d8132496ce82e9bfca875c26.jpg,1529,2284,white-bishop,26,"[357, 116]","[493, 343]",white,bishop
9,7,"[243, 909, 170, 219]",37230,1a530d578f3f0bf3497bfeff3d953025_jpg.rf.02b21777d8132496ce82e9bfca875c26.jpg,1529,2284,white-bishop,27,"[243, 909]","[413, 1128]",white,bishop
9,9,"[302, 728, 141, 214]",30174,1a530d578f3f0bf3497bfeff3d953025_jpg.rf.02b21777d8132496ce82e9bfca875c26.jpg,1529,2284,white-knight,28,"[302, 728]","[443, 942]",white,knight
9,9,"[736, 399, 123, 204]",25092,1a530d578f3f0bf3497bfeff3d953025_jpg.rf.02b21777d8132496ce82e9bfca875c26.jpg,1529,2284,white-knight,29,"[736, 399]","[859, 603]",white,knight
9,11,"[711, 92, 147, 269]",39543,1a530d578f3f0bf3497bfeff3d953025_jpg.rf.02b21777d8132496ce82e9bfca875c26.jpg,1529,2284,white-queen,30,"[711, 92]","[858, 361]",white,queen
9,10,"[889, 48, 112, 167]",18704,1a530d578f3f0bf3497bfeff3d953025_jpg.rf.02b21777d8132496ce82e9bfca875c26.jpg,1529,2284,white-pawn,31,"[889, 48]","[1001, 215]",white,pawn
9,10,"[893, 297, 114, 162]",18468,1a530d578f3f0bf3497bfeff3d953025_jpg.rf.02b21777d8132496ce82e9bfca875c26.jpg,1529,2284,white-pawn,32,"[893, 297]","[1007, 459]",white,pawn
