,fn,label,actual,pred,loss
0,02c00099_white-pawn.jpg,white-pawn,9,9,0.00016021728515625
1,01c00030_white-rook.jpg,white-rook,11,11,0.0011453628540039062
2,02c00126_white-knight.jpg,white-knight,8,8,0.763704776763916
3,01c00041_black-bishop.jpg,black-bishop,0,3,1.335627555847168
4,02c00027_white-pawn.jpg,white-pawn,9,9,0.00022125244140625
5,02c00121_black-rook.jpg,black-rook,5,5,0.5702180862426758
6,02c00015_white-knight.jpg,white-knight,8,8,0.022965431213378906
7,01c00038_white-king.jpg,white-king,7,8,5.808040142059326
8,01c00027_white-knight.jpg,white-knight,8,8,0.04509592056274414
9,01c00048_white-king.jpg,white-king,7,7,0.06421327590942383
10,02c00054_black-pawn.jpg,black-pawn,3,3,0.02145099639892578
11,01c00008_white-queen.jpg,white-queen,10,10,0.02337646484375
12,01c00051_black-pawn.jpg,black-pawn,3,3,0.35556840896606445
13,02c00021_black-king.jpg,black-king,1,1,0.012753009796142578
14,02c00058_white-king.jpg,white-king,7,7,0.5264883041381836
15,02c00152_white-rook.jpg,white-rook,11,11,0.006092071533203125
16,02c00000_black-rook.jpg,black-rook,5,5,0.016025543212890625
17,02c00025_white-king.jpg,white-king,7,7,0.003238677978515625
18,02c00008_white-king.jpg,white-king,7,7,0.017862319946289062
19,02c00146_black-pawn.jpg,black-pawn,3,3,0.008993148803710938
20,02c00053_black-bishop.jpg,black-bishop,0,0,0.00847625732421875
21,02c00086_white-rook.jpg,white-rook,11,11,0.09187078475952148
22,02c00011_white-bishop.jpg,white-bishop,6,6,0.00015354156494140625
23,02c00167_white-queen.jpg,white-queen,10,10,0.33078813552856445
24,02c00002_black-pawn.jpg,black-pawn,3,3,0.0027637481689453125
25,01c00049_white-pawn.jpg,white-pawn,9,9,0.004714012145996094
26,02c00064_white-king.jpg,white-king,7,6,1.05910062789917
27,02c00096_black-queen.jpg,black-queen,4,4,0.004126548767089844
28,01c00047_black-pawn.jpg,black-pawn,3,5,0.9354782104492188
29,01c00044_white-bishop.jpg,white-bishop,6,8,4.134592056274414
30,02c00009_black-king.jpg,black-king,1,4,0.8610115051269531
31,02c00141_black-pawn.jpg,black-pawn,3,3,0.013519287109375
32,02c00115_black-bishop.jpg,black-bishop,0,0,0.8498857021331787
33,02c00131_white-bishop.jpg,white-bishop,6,8,4.375974178314209
34,02c00149_white-knight.jpg,white-knight,8,8,0.03556346893310547
35,02c00110_white-rook.jpg,white-rook,11,11,0.32802295684814453
36,01c00046_white-pawn.jpg,white-pawn,9,9,0.45534467697143555
37,02c00047_black-knight.jpg,black-knight,2,2,0.27420949935913086
